name,short_name,iata,icao,flight_area_class,type,city,opened,lat,lon
长海大长山岛机场,长海大长山岛,CNI,ZYCH,1B,民用,长海县,2008-02-02,39.266441,122.66696
额济纳旗桃来机场,额济纳旗,EJN,ZBEN,3C,民用,额济纳旗,2013-12-17,42.0155,101.0005
阿拉善右旗巴丹吉林机场,阿右旗,RHT,ZBAR,3C,民用,阿拉善右旗,2013-12-17,39.225,101.546
天水麦积山机场,天水麦积山,THQ,ZLTS,3C,军民合用,天水市,2008-09-28,34.5601,105.860343
阿勒泰雪都机场,阿勒泰雪都,AAT,ZWAT,4C,民用,阿勒泰市,1956-10-12,47.749886,88.085808
阿拉尔塔里木机场,阿拉尔塔里木,ACF,ZWAL,4C,民用,阿拉尔市,2022-06-16,40.434748,81.26206
兴义万峰林机场,兴义万峰林,ACX,ZUYI,4C,民用,兴义市,2004-07-18,25.083423,104.960804
百色巴马机场,百色巴马,AEB,ZGBS,4C,军民合用,百色市 巴马瑶族自治县,2007-02-04,23.7206,106.959999
阿坝红原机场,红原,AHJ,ZUHY,4C,民用,马尔康市,2014-08-28,32.53154,102.35224
安康富强机场,安康富强,AKA,ZLAK,4C,军民合用,安康市,2020-09-25,32.75696,108.87338
鞍山腾鳌机场,鞍山腾鳌,AOG,ZYAS,4C,军民合用,鞍山市,2010-04-01,41.105301,122.853996
阿里普兰机场,阿里普兰,APJ,ZUPL,4C,民用,普兰县,2023-12-27,30.397898,81.13317
安庆天柱山机场,安庆天柱山,AQG,ZSAQ,4C,军民合用,安庆市,1993-12-22,30.582199,117.050003
安顺黄果树机场,安顺黄果树,AVA,ZUAS,4C,民用,安顺市,2004-09-28,26.260556,105.873333
阿拉善左旗巴彦浩特机场,阿左旗,AXF,ZBAL,4C,民用,阿拉善左旗,2013-12-17,38.748317,105.58416
琼海博鳌国际机场,琼海博鳌,BAR,ZJQH,4C,民用,琼海市,2016-03-17,19.140951,110.452766
包头东河国际机场,包头东河,BAV,ZBOW,4C,民用,包头市,1957-01-01,40.560001,109.997002
毕节飞雄机场,毕节飞雄,BFJ,ZUBJ,4C,民用,毕节市,2013-06-16,27.267066,105.472097
蚌埠滕湖机场,蚌埠滕湖,BFY,ZSBA,4C,民用,蚌埠市,2026-04-29,33.166292,117.058344
秦皇岛北戴河机场,秦皇岛北戴河,BPE,ZBDH,4C,民用,秦皇岛市,2016-03-31,39.666384,119.061384
博乐阿拉山口机场,博乐阿拉山口,BPL,ZWBL,4C,民用,博乐市,2010-07-10,44.895461,82.30007
昌都邦达机场,昌都邦达,BPX,ZUBD,4C,军民合用,昌都市,1995-04-28,30.553600311279297,97.1082992553711
保山云瑞机场,保山云瑞,BSD,ZPBS,4C,民用,保山市,1958-04-01,25.053301,99.168297
亳州机场,亳州,BZJ,ZSBO,4C,民用,亳州市,2025-11-12,33.560777,115.911859
巴中恩阳机场,巴中恩阳,BZX,ZUBZ,4C,民用,巴中市,2019-02-03,31.73842,106.644872
承德普宁机场,承德普宁,CDE,ZBCD,4C,民用,承德市,2017-05-31,41.1225,118.073889
朝阳机场,朝阳,CHG,ZYCY,4C,民用,朝阳市,2008-04-01,41.538101,120.434998
赤峰玉龙机场,赤峰玉龙,CIF,ZBCF,4C,军民合用,赤峰市,2008-03-20,42.159723,118.840971
长治王村机场,长治王村,CIH,ZBCZ,4C,军民合用,长治市,2003-09-08,36.247501,113.125999
重庆仙女山机场,重庆仙女山,CQW,ZUWL,4C,民用,武隆区,2020-12-18,29.465658,107.693664
沧源佤山机场,沧源佤山,CWJ,ZPCW,4C,民用,沧源佤族自治县,2016-12-08,23.276331,99.373169
大同云冈国际机场,大同云冈,DAT,ZBDT,4C,民用,大同市,2005-12-25,40.06139,113.480509
白城长安机场,白城长安,DBC,ZYBA,4C,民用,白城市,2017-03-31,45.505278,123.019722
稻城亚丁机场,稻城亚丁,DCY,ZUDC,4C,民用,稻城县,2013-09-16,29.31632,100.060317
丹东浪头机场,丹东浪头,DDG,ZYDD,4C,军民合用,丹东市,1985-12-21,40.025453,124.28669
日喀则定日机场,日喀则定日,DDR,ZUDR,4C,民用,定日县,2022-12-24,28.604567,86.798
铜仁德江机场,德江,DEJ,ZUDJ,4C,民用,德江县,2026-05-18,28.121,108.1631
巴里坤大河机场,巴里坤大河,DHH,ZWLK,4C,民用,巴里坤哈萨克自治县,2025-07-11,43.756544,93.137164
大理凤仪机场,大理凤仪,DLU,ZPDL,4C,民用,大理市,1995-11-28,25.649401,100.319
大庆萨尔图机场,大庆萨尔图,DQA,ZYDQ,4C,民用,大庆市,2009-09-01,46.750883,125.138642
五大连池德都机场,五大连池,DTU,ZYDU,4C,民用,五大连池市,2017-11-22,48.441037,126.128374
湘西边城机场,湘西边城,DXJ,ZGXX,4C,民用,吉首市,2023-08-18,28.4972,109.5218
达州金垭机场,达州金垭,DZH,ZUDA,4C,民用,达州市,2022-05-19,31.048815,107.435646
恩施许家坪国际机场,恩施许家坪,ENH,ZHES,4C,民用,恩施市,1993-11-30,30.320299,109.485001
延安南泥湾机场,延安南泥湾,ENY,ZLYA,4C,军民合用,延安市,2018-11-08,36.479413,109.464083
二连浩特赛乌素国际机场,二连浩特,ERL,ZBER,4C,民用,二连浩特市,2010-02-11,43.424079,112.091081
阜阳机场,阜阳,FUG,ZSFY,4C,民用,阜阳市,1998-12-26,32.882157,115.734364
佛山沙堤机场,佛山沙堤,FUO,ZGFS,4C,军民合用,佛山市,2009-11-18,23.0825,113.070833
抚远东极机场,抚远,FYJ,ZYFY,4C,民用,抚远市,2014-05-26,48.197219,134.36298
富蕴可可托海机场,富蕴,FYN,ZWFY,4C,军民合用,富蕴县,2015-08-01,46.804169,89.512006
果洛玛沁机场,果洛玛沁,GMQ,ZLGL,4C,民用,玛沁县,2016-07-01,34.418066,100.301144
甘南夏河机场,甘南夏河,GXH,ZLXH,4C,民用,合作市,2013-08-19,34.819014,102.622261
广元盘龙机场,广元盘龙,GYS,ZUGU,4C,民用,广元市,2009-05-08,32.390254,105.694571
固原六盘山机场,固原六盘山,GYU,ZLGY,4C,民用,固原市,2010-06-26,36.078889,106.216944
甘孜格萨尔机场,甘孜格萨尔,GZG,ZUGZ,4C,民用,甘孜县,2019-09-16,31.7575,99.554167
海北祁连机场,海北祁连,HBQ,ZLHB,4C,民用,祁连县,2018-08-28,38.008068,100.645065
河池金城江机场,河池金城江,HCJ,ZGHC,4C,民用,河池市,2014-08-28,24.804344,107.710819
郴州北湖机场,郴州北湖,HCZ,ZGCZ,4C,民用,郴州市,2021-09-16,25.753419,112.845404
邯郸机场,邯郸,HDG,ZBHD,4C,民用,邯郸市,2007-08-08,36.524824,114.424126
黑河瑷珲机场,黑河瑷珲,HEK,ZYHE,4C,民用,黑河市,2001-09-30,50.171621,127.308884
和静巴音布鲁克机场,巴音布鲁克,HJB,ZWHJ,4C,民用,巴音布鲁克镇,2024-08-20,42.976395,83.995543
怀化芷江机场,怀化芷江,HJJ,ZGCJ,4C,军民合用,怀化市,2005-12-19,27.443087,109.704666
